year,month,open,high,low,close,volume
2018,3,177.32,177.47,173.66,175.82,46812368
2018,3,180.29,183.5,177.62,178.02,151720299
2018,3,175.21,180.0,174.27,179.98,138442235
2018,3,176.35,180.615,172.45,176.21,196432091
2018,2,172.05,175.65,171.01,175.5,133197874
2018,2,158.5,174.82,157.51,172.43,222582467
2018,2,159.1,163.88,150.24,156.41,299885932
2018,2,170.16,170.16,160.1,160.5,248091289
2018,1,177.3,179.44,170.06,171.51,185072080
2018,1,177.9,180.1,175.07,178.46,122974060
2018,1,174.35,177.36,173.0,177.09,107548622
2018,1,170.16,175.37,169.26,175.0,99095223
2017,12,170.8,171.85,169.22,169.23,96281679
2017,12,174.88,177.2,173.25,175.01,115320238
2017,12,169.2,174.17,168.79,173.97,132453689
2017,12,172.48,172.62,166.46,169.37,134914322
2017,12,175.05,175.08,167.16,171.05,166555527
2017,11,170.29,175.5,169.56,174.97,79873651
2017,11,173.5,174.5,168.38,170.15,114281964
2017,11,172.365,176.24,171.72,174.67,136260721
2017,11,163.89,174.26,163.72,172.5,203892677
2017,10,156.89,163.6,155.27,163.05,119574587
2017,10,157.9,160.87,155.02,156.25,124593299
2017,10,155.81,158.0,155.1,156.99,80597481
2017,10,154.26,155.49,152.46,155.3,91971974
2017,9,149.99,154.7189,149.16,154.12,152105993
2017,9,160.11,160.5,150.56,151.89,182738115
2017,9,160.5,163.96,157.91,159.88,217839085
2017,9,163.75,164.25,158.53,158.63,100402255
2017,9,160.14,164.94,159.93,164.05,124482489
2017,8,157.5,160.74,155.1101,159.86,110686493
2017,8,159.32,162.51,156.72,157.5,130951564
2017,8,157.06,161.83,154.63,157.48,148310594
2017,8,149.9,159.75,148.13,156.39,159721244
2017,7,150.58,153.99,147.3,149.5,103916337
2017,7,148.82,151.74,148.57,150.27,103297255
2017,7,144.11,149.33,143.37,149.04,107844162
2017,7,144.88,145.3,142.41,144.18,76896820
2017,6,147.17,148.28,142.28,144.02,125310202
2017,6,143.66,147.16,143.66,146.28,121757322
2017,6,145.74,147.5,142.2,142.27,217066551
2017,6,154.34,155.98,146.02,148.98,93152454
2017,6,153.42,155.45,152.22,155.45,86663811
2017,5,154.0,154.9,152.67,153.61,101565411
2017,5,156.01,156.65,149.71,153.06,154981942
2017,5,149.03,156.42,149.03,156.1,167770544
2017,5,145.1,148.98,144.27,148.96,167777285
2017,4,143.5,144.9,143.18,143.65,89143525
2017,4,141.48,142.92,140.45,142.27,89248503
2017,4,143.6,143.8792,140.06,141.05,87485653
2017,4,143.71,145.46,143.05,143.34,105402499
2017,3,139.39,144.5,138.62,143.66,127008757
2017,3,140.4,142.8,139.73,140.64,129673979
